nro;nombre_archivo;id_revista;revista;pais;macroarea;metodologia;titulo;anio;autores;doi;url_fulltext;disciplina;objetivo_general;frase_inferencia;frase_muestreo;tipo_estudio;enfoque_metodologico;diseno_estudio;tamano_muestra;es_cuantitativo_con_inferencia;muestreo_probabilistico;muestreo_no_probabilistico;declara_tipo_muestreo;declara_calculo_tamano_muestral;reporta_intervalos_confianza;extrapola_a_poblacion;advierte_limites_muestreo;aplica_muestreo_inferencial;clasificacion_inferencial;motivo_principal;nivel_confianza_clasificacion;incumple_inferencia;software_estadistico;comentario_metodologico;area;macroarea_final;origen;estado;ruta_pdf_ref;clasificacion_original;clasificacion_recheck;clasificacion_final;aplicable_final;_reconfirmado
11;00260_Gestão_Produção_2021.pdf;38.0;Gestão & Produção;Brasil;Ciencias Agrarias y Ambientales;Experimental;Mechanization in sugarcane production and other agricultural activities: an econometric analysis of employment and income;2021.0;"Diogo Ferraz; Fabíola Cristina Ribeiro de Oliveira; Daisy Aparecida do Nascimento Rebelatto; Andreas Pyka";10.1590/1806-9649-2021v28e5768;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0104-530X2021000400213&tlng=en;;;;;;;;;;;No;;;;Sí;No;Sí;Sin falla relevante;;;No;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00260_Gestão_Produção_2021.pdf;Sin falla relevante;Sin falla relevante;Sin falla relevante;True;True
12;00272_Journal_of_Physical_Education_2024.pdf;44.0;Journal of Physical Education;Brasil;Ciencias Agrarias y Ambientales;Inferencia Estadística;DETECÇÃO DE TALENTOS NO VOLEIBOL: UMA MODELAGEM ESTATÍSTICA BASEADA NA ESTATURA ADULTA PREVISTA DE ESCOLARES;2024.0;"Rodrigo de Magalhães Vianna; Francisco Zacaron Werneck; Emerson Filipino Coelho; Luciano Miranda; Vitória Aparecida Santos de Campos; Maurício Gattás Bara Filho";10.4025/jphyseduc.v34i1.3444;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2448-24552023000100233&lng=pt&tlng=pt;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00272_Journal_of_Physical_Education_2024.pdf;Debilidad importante;Debilidad importante;Debilidad importante;True;True
13;00273_Journal_of_Physical_Education_2024.pdf;44.0;Journal of Physical Education;Brasil;Ciencias Agrarias y Ambientales;Inferencia Estadística;AS MOTIVAÇÕES DA PRÁTICA DE ATIVIDADE FÍSICA DURANTE A GRADUAÇÃO DE ALUNOS DE PSICOLOGIA;2024.0;"Ana Júlia Leal de Andrade; Ana Queren Olegário Coutinho; Davi Barbosa Ribeiro; Giovanna Oliveira Brandão; Luara Boschi Paulinelli Faiete; Maria Júlia Garcia Teixeira Moraes; Cássio Pinho dos Reis";10.4025/jphyseduc.v34i1.3458;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2448-24552023000100244&lng=pt&tlng=pt;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00273_Journal_of_Physical_Education_2024.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
14;00274_Journal_of_Physical_Education_2024.pdf;44.0;Journal of Physical Education;Brasil;Ciencias Agrarias y Ambientales;Inferencia Estadística;THE EFFECT OF GAME-BASED KARATE TRAINING ON THE LEARNING OF BASIC TECHNIQUES AND ENJOYMENT OF PHYSICAL ACTIVITY IN CHILDREN;2024.0;"Amin Gholami; Seyedeh Masoumeh Mousavi; Malihe Naeimikia; Pouya Sofizadeh";10.4025/jphyseduc.v35i1.3506;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2448-24552024000100210&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00274_Journal_of_Physical_Education_2024.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
15;00275_Journal_of_Physical_Education_2024.pdf;44.0;Journal of Physical Education;Brasil;Ciencias Agrarias y Ambientales;Inferencia Estadística;EFEITO DA AUTO LIBERAÇÃO MIOFASCIAL NA FLEXIBILIDADE DE ESCOLARES: UMA PROPOSTA ACESSÍVEL;2024.0;"Elielbson Santos de Souza; André Luiz Karol Mota Scudlarek; Paulo Márcio Montserrat; Gleuber Henrique Marques-Oliveira";10.4025/jphyseduc.v35i1.3507;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2448-24552024000100205&tlng=pt;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00275_Journal_of_Physical_Education_2024.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
16;00276_Journal_of_Physical_Education_2024.pdf;44.0;Journal of Physical Education;Brasil;Ciencias Agrarias y Ambientales;Inferencia Estadística;FESTIVAL QUALITY, VALUE, AND SPORTS ENVIRONMENT AFFECTING STUDENTS’ SATISFACTION AND LOYALTY: BASIS FOR CONTINUOUS EXTRA-CURRICULAR ACTIVITY OFFERING;2024.0;"Joseph Lobo; Diana Varona";10.4025/jphyseduc.v35i1.3505;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2448-24552024000100204&tlng=pt;;;;;;;;;;;SÃ­;;;;SÃ­;No;SÃ­;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00276_Journal_of_Physical_Education_2024.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
17;00277_Journal_of_Physical_Education_2023.pdf;44.0;Journal of Physical Education;Brasil;Ciencias Agrarias y Ambientales;Inferencia Estadística;ACUTE EFFECTS OF DIFFERENT INTERVALS BETWEEN REPEATED SPRINTS ON PERFORMANCE RESPONSES IN AMATEUR FUTSAL ATHLETES;2023.0;"Leandro Sant’Ana; Lucas Muniz Carnevalli; Sérgio Machado; Gilmar Weber Senna; Estevão Scudese; Jeferson Macedo Vianna; Cristiano Queiroz de Oliveira";10.4025/jphyseduc.v34i1.3408;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2448-24552023000100206&lng=en&tlng=en;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00277_Journal_of_Physical_Education_2023.pdf;Debilidad importante;Debilidad importante;Debilidad importante;True;True
18;00278_Journal_of_Physical_Education_2023.pdf;44.0;Journal of Physical Education;Brasil;Ciencias Agrarias y Ambientales;Inferencia Estadística;Efeito de uma intervenção remota de atividade física no risco cardiovascular e na aptidão física;2023.0;"Lincoln Fernando Akira Terashima; Ana Carolina Mendes de Lara Campos; Marcelo Alves de Souza; Renan Vegas Jacob; Tayna Paracatu; Teresa Bartholomeu; Bruno Temoteo Modesto; Cláudia Lúcia de Moraes Forjaz";10.4025/jphyseduc.v34i1.3401;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2448-24552023000100201&lng=pt&tlng=pt;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00278_Journal_of_Physical_Education_2023.pdf;Debilidad importante;Debilidad importante;Debilidad importante;True;True
19;00281_Journal_of_Physical_Education_2023.pdf;44.0;Journal of Physical Education;Brasil;Ciencias Agrarias y Ambientales;Inferencia Estadística;MECHANICAL DEMANDS AND PACING PROFILE ADOPTED BY ELITE MOUNTAIN BIKERS DURING DIFFERENT CROSS-COUNTRY EVENTS;2023.0;"Rhaí André Arriel; Anderson Meireles; Hiago Leandro Rodrigues Souza; Roberto Carlos de Matos Leite; Moacir Marocolo";10.4025/jphyseduc.v34i1.3437;http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2448-24552023000100229&tlng=en;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00281_Journal_of_Physical_Education_2023.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
20;00314_Ocean_and_Coastal_Research_2025.pdf;50.0;Ocean and Coastal Research;Brasil;Ciencias Agrarias y Ambientales;Experimental + Estadística;Length-weight relationships and relative condition factor of some commercially important fishes and invertebrates in the southwestern sea of Vietnam;2025.0;"Vu Viet  Ha; Tu Hoang Nhan";10.1590/2675-2824073.25031;https://revistas.usp.br/ocr/article/view/240475;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00314_Ocean_and_Coastal_Research_2025.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
21;00320_Ocean_and_Coastal_Research_2025.pdf;50.0;Ocean and Coastal Research;Brasil;Ciencias Agrarias y Ambientales;Experimental + Estadística;Preliminary assessment of microplastic pollution in surface waters of the Santos Basin: abundance and diversity in the most important oil and gas exploration hub in Brazil;2025.0;"Hudson Carvalho Ferreira; Gisele Lôbo-Hajdu";10.1590/2675-2824073.24006;https://journals.usp.br/ocr/article/view/236191;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00320_Ocean_and_Coastal_Research_2025.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
22;0034-7450-rcp-53-04-419.pdf;21.0;Clio y Asociados;Argentina;VACIO;Inferencia Estadística;Nación y subalternidades en los libros escolares del siglo XXI: una mirada crítica desde la “Campaña del Desierto”;2025.0;Patricio Grande;10.14409/cya.2025.40.e0061;https://bibliotecavirtual.unl.edu.ar/publicaciones/index.php/ClioyAsociados/article/view/14455;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_2daMuestra\0034-7450-rcp-53-04-419.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
23;0034-7450-rcp-53-04-426.pdf;21.0;Clio y Asociados;Argentina;VACIO;Inferencia Estadística;“Orgullo por ser hija de esta fusión”: el 12 de octubre y las disputas de sentidos sobre una efeméride incómoda;2025.0;"Aldana Sánchez; Laura Gabriela Sanchez";10.14409/cya.2025.40.e0065;https://bibliotecavirtual.unl.edu.ar/publicaciones/index.php/ClioyAsociados/article/view/14407;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_2daMuestra\0034-7450-rcp-53-04-426.pdf;Debilidad importante;Debilidad importante;Debilidad importante;True;True
24;0034-7450-rcp-53-04-435.pdf;21.0;Clio y Asociados;Argentina;VACIO;Inferencia Estadística;Los apoyos audiovisuales y el Pensamiento Histórico: una propuesta metodológica para su aplicación en el aula;2024.0;"Nicolás Mauricio Calderón Pantoja; Carlos de la Rosa Gómez";https://doi.org/10.14409/cya.2024.38.e0038;https://bibliotecavirtual.unl.edu.ar/publicaciones/index.php/ClioyAsociados/article/view/13538/19262;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_2daMuestra\0034-7450-rcp-53-04-435.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
25;0034-7450-rcp-53-04-443.pdf;21.0;Clio y Asociados;Argentina;VACIO;Inferencia Estadística;La historia de la Patagonia en el diseño curricular de la Escuela Secundaria Rionegrina desde una perspectiva intercultural;2024.0;"Daniel Tomás Portela; Sergio Remolcoy; Miguel Ángel Jara";https://doi.org/10.14409/cya.2024.39.e0044;https://bibliotecavirtual.unl.edu.ar/publicaciones/index.php/ClioyAsociados/article/view/13908/19783;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_2daMuestra\0034-7450-rcp-53-04-443.pdf;Debilidad importante;Debilidad importante;Debilidad importante;True;True
26;0034-7450-rcp-53-04-505.pdf;21.0;Clio y Asociados;Argentina;VACIO;Inferencia Estadística;Prólogo;2024.0;Mariela Coudannes;;https://bibliotecavirtual.unl.edu.ar/publicaciones/index.php/ClioyAsociados/article/view/14132;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_2daMuestra\0034-7450-rcp-53-04-505.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
27;0034-7450-rcp-53-04-517.pdf;21.0;Clio y Asociados;Argentina;VACIO;Inferencia Estadística;Evaluación y enseñanza de la Historia en Brasil: trayectorias;2024.0;"Maria Auxiliadora Moreira dos Santos Schmidt; Leslie Luiza Pereira Gusmão";https://doi.org/10.14409/cya.2024.38.e0032;https://bibliotecavirtual.unl.edu.ar/publicaciones/index.php/ClioyAsociados/article/view/13719/19276;;;;;;;;;;;Sí;;;;Sí;Sí;Sí;Debilidad importante;;;No;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_2daMuestra\0034-7450-rcp-53-04-517.pdf;Falla fuerte;Debilidad importante;Debilidad importante;True;True
28;0034-7450-rcp-53-04-529.pdf;21.0;Clio y Asociados;Argentina;VACIO;Inferencia Estadística;¿Qué es y qué puede un material instruccional en historia?;2024.0;"Edison Luiz Saturnino; Carmem Zeli de Vargas Gil; Caroline Pacievitch";https://doi.org/10.14409/cya.2024.39.e0043;https://bibliotecavirtual.unl.edu.ar/publicaciones/index.php/ClioyAsociados/article/view/13745/19781;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias de la Salud;Ciencias de la Salud;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\PDFs\PDFs_2daMuestra\0034-7450-rcp-53-04-529.pdf;Debilidad importante;Falla fuerte;Falla fuerte;True;True
29;00345_Política_e_Gestão_Educacional_2025.pdf;53.0;Política e Gestão Educacional;Brasil;Ciencias Agrarias y Ambientales;Inferencia Estadística;Uma abordagem de aprendizagem baseada em problemas culturalmente integrada;2025.0;"Rosina Zahara; Yusnadi Yusnadi; Edy Surya";10.22633/rpge.v29iesp1.20458;https://periodicos.fclar.unesp.br/rpge/article/view/20458;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00345_Política_e_Gestão_Educacional_2025.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
30;00347_Política_e_Gestão_Educacional_2025.pdf;53.0;Política e Gestão Educacional;Brasil;Ciencias Agrarias y Ambientales;Inferencia Estadística;Educação inclusiva durante a lei marcial;2025.0;"Eliana Danilavichiutie; Olga Arkadieva; Liudmyla Trofymenko; Tamara Andriichuk; Viktoria Lutsenko";10.22633/rpge.v29iesp2.20658;https://periodicos.fclar.unesp.br/rpge/article/view/20658;;;;;;;;;;;Sí;;;;Sí;No;Sí;Falla fuerte;;;SÃ­;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00347_Política_e_Gestão_Educacional_2025.pdf;Falla fuerte;Falla fuerte;Falla fuerte;True;True
31;00349_Política_e_Gestão_Educacional_2025.pdf;53.0;Política e Gestão Educacional;Brasil;Ciencias Agrarias y Ambientales;Inferencia Estadística;Prática religiosa e rejeição de tradições supersticiosas entre muçulmanos em Terengganu;2025.0;"Hailan Salamun; Engku Ibrahim bin Engku Wok Zin; Kasyfullah Abd Kadir; Mahadi bin Mohammad; Syed Mohd Hafiz bin Syed Omar; Mohd Rahim bin Arifin";10.22633/rpge.v29iesp3.20698;https://periodicos.fclar.unesp.br/rpge/article/view/20698;;;;;;;;;;;No;;;;Sí;No;Sí;Sin falla relevante;;;No;;;Ciencias Agrarias y Ambientales;Ciencias Agrarias y Ambientales;old_772;OK;g:\Mi unidad\DECENA_FACEN\04_INVESTIGACION_REPO\pdfs_articulos\00349_Política_e_Gestão_Educacional_2025.pdf;Debilidad importante;Sin falla relevante;Sin falla relevante;True;True
