id_muestra;macroarea;metodologia;pais;titulo;issn_impreso;issn_electronico;editor;idiomas;areas_tematicas;url_revista;url_doaj;proceso_revision;tiene_apc;articulos_a_revisar
11;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Argumentos Pró-Educação;;2448-2803;Universidade do Vale do Sapucaí- Univás;Portuguese;Education: Education (General) | Education: Theory and practice of education;http://ojs.univas.edu.br/index.php?journal=argumentosproeducacao&page=index;https://doaj.org/toc/3a52e95954534558ac08c84beb6e5cbb;Anonymous peer review;No;10
12;Ciencias Agrarias y Ambientales;Experimental + Estadística;Brasil;Arquivos do Instituto Biológico;0020-3653;1808-1657;Instituto Biológico;English;Agriculture: Agriculture (General);https://www.scielo.br/j/aib/;https://doaj.org/toc/8a1700e46e1240eab0e75363bbf94f86;Double anonymous peer review;Yes;10
13;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Art Research Journal;;2357-9978;Universidade Federal do Rio Grande do Norte;Portuguese;Fine Arts: Arts in general | Education: Special aspects of education;https://periodicos.ufrn.br/artresearchjournal;https://doaj.org/toc/af9aafa588174de6934354d1a92f0074;Double anonymous peer review;No;10
14;Ciencias Agrarias y Ambientales;Experimental + Estadística;Brasil;Artefactum: Revista de Estudos em Linguagem e Tecnologia;;1984-3852;Rafrom Comércio e Representações Ltda;Portuguese;Fine Arts: Arts in general | Technology: Technology (General);https://artefactumjournal.com/index.php/artefactum/index;https://doaj.org/toc/3836e2cb374a4803a5da4869ffc2715f;Double anonymous peer review;Yes;10
15;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Artefilosofia;1809-8274;2526-7892;Universidade Federal de Ouro Preto;German, Spanish, Portuguese, French, English;Philosophy. Psychology. Religion: Philosophy (General) | Fine Arts: Arts in general;https://periodicos.ufop.br/raf/about;https://doaj.org/toc/dc526892294e4596b18b987644d692e2;Anonymous peer review;No;10
16;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Avaliação: Revista da Avaliação da Educação Superior;1414-4077;1982-5765;Universidade de Sorocaba;English, Portuguese, Spanish;Education: Education (General);http://www.scielo.br/scielo.php?script=sci_serial&pid=1414-4077&lng=en&nrm=iso;https://doaj.org/toc/fb43f64dd90c41edaf310d584db5d55e;Peer review;No;10
17;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Basilíade;;2596-092X;Faculdade São Basílio Magno (FASBAM);Portuguese, English, Italian, Spanish, French;Philosophy. Psychology. Religion: Philosophy (General) | Philosophy. Psychology. Religion: Doctrinal Theology;https://fasbam.edu.br/pesquisa/periodicos/index.php/basiliade/index;https://doaj.org/toc/f686356173974d0ca05e21559a2c5f4b;Double anonymous peer review;No;10
18;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Cadernos Nietzsche;1413-7755;2316-8242;Universidade Federal do Sul da Bahia;Portuguese;Philosophy. Psychology. Religion: Philosophy (General): By period: Modern;http://www.scielo.br/scielo.php?script=sci_serial&pid=2316-8242&lng=en&nrm=iso;https://doaj.org/toc/4954cb7ae013473380bb22800976a0c8;Anonymous peer review;No;10
19;Ciencias Agrarias y Ambientales;Experimental;Argentina;Cartografías del Sur;2422-7951;2422-6920;Universidad Nacional de Avellaneda;Spanish;General Works;http://cartografiasdelsur.undav.edu.ar/;https://doaj.org/toc/1248d14b313e40e2b4be18b3e9dc23f3;Double anonymous peer review;No;10
20;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Ciência & Educação;1516-7313;1980-850X;Universidade Estadual Paulista;Spanish, Portuguese, English;Education: Education (General);https://www.scielo.br/j/ciedu/;https://doaj.org/toc/71f45235ef4646369c86ba846347bcb9;Double anonymous peer review;No;10
21;Ciencias Agrarias y Ambientales;Inferencia Estadística;Argentina;Clio y Asociados;0328-820X;2362-3063;Universidad Nacional del Litoral;Spanish;Education: Theory and practice of education | History (General) and history of Europe: History (General) | History America: Latin America. Spanish America;https://bibliotecavirtual.unl.edu.ar/publicaciones/index.php/ClioyAsociados;https://doaj.org/toc/fba16299f7074430a100cdaee94773cb;Double anonymous peer review;No;10
22;Ciencias Agrarias y Ambientales;Experimental + Estadística;Brasil;Colloquium Agrariae;;1809-8215;University of Western Sao Paulo, UNOESTE;Portuguese;Agriculture: Agriculture (General);http://journal.unoeste.br/index.php/ca;https://doaj.org/toc/6b1ded35c6f8488c97c327e08d41c286;Peer review;No;10
23;Ciencias Agrarias y Ambientales;Inferencia Estadística;Argentina;Corpus: Archivos Virtuales de la Alteridad Americana;;1853-8037;Centro Científico y Tecnológico-CONICET, Mendoza & Universidad Nacional de La Pampa;Spanish, Portuguese, French, English;Geography. Anthropology. Recreation: Anthropology: Ethnology. Social and cultural anthropology;https://journals.openedition.org/corpusarchivos/;https://doaj.org/toc/5836f1675b574354841a499a594e44ec;Double anonymous peer review;No;10
24;Ciencias Agrarias y Ambientales;Experimental + Estadística;Brasil;Design e Tecnologia;;2178-1974;PGDesign/UFRGS;English, Portuguese;Technology: Technology (General): Industrial engineering. Management engineering: Information technology;https://www.ufrgs.br/det/index.php/det/index;https://doaj.org/toc/fdbe8c83523a497db8357daab321eccc;Double anonymous peer review;No;10
25;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Devir Educação;;2526-849X;Universidade Federal de Lavras;Portuguese;Education: Education (General);http://devireducacao.ded.ufla.br;https://doaj.org/toc/d67ecbd78468405a9dd1570cc82686c7;Anonymous peer review;No;10
26;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;DoisPontos;1807-3883;2179-7412;Universidade Federal do Paraná;Portuguese;Philosophy. Psychology. Religion: Philosophy (General);https://revistas.ufpr.br/doispontos/index;https://doaj.org/toc/cf6abc5cebc94e8cb3e7870475b89ae6;Double anonymous peer review;No;10
27;Ciencias Agrarias y Ambientales;Experimental + Estadística;Ecuador;Ecuador es Calidad;1390-9223;2528-7850;Agencia de Regulación y Control Fito y Zoosanitario (AGROCALIDAD);Spanish;Agriculture: Agriculture (General) | Agriculture: Animal culture;https://revistaecuadorescalidad.agrocalidad.gob.ec/revistaecuadorescalidad/index.php/revista/about;https://doaj.org/toc/ba224dc041d04c22accce20ae97d047a;Double anonymous peer review;No;10
28;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Educação;0101-465X;1981-2582;Editora da Pontifícia Universidade Católica do Rio Grande do Sul - EDIPUCRS;Spanish, Portuguese;Education: Education (General);https://revistaseletronicas.pucrs.br/ojs/index.php/faced/;https://doaj.org/toc/80300295b4ed4f2d80c12d7088900269;Double anonymous peer review;No;10
29;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Educação Unisinos;1519-387X;2177-6210;Universidade do Vale do Rio dos Sinos;Spanish, Portuguese, English;Education: Education (General);http://revistas.unisinos.br/index.php/educacao/index;https://doaj.org/toc/e9bea26cc11b490fb23a53be587018b5;Editorial review, Double anonymous peer review;No;10
30;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Educação e Pesquisa;1517-9702;1678-4634;Universidade de São Paulo, Faculdade de Educação;Spanish, Portuguese, English;Education: Education (General);https://www.scielo.br/j/ep/;https://doaj.org/toc/b535dc34285b4dec99e8b93b862ecf85;Editorial review, Peer review;No;10
31;Ciencias Agrarias y Ambientales;Inferencia Estadística;Peru;Eduser;;2412-2769;Universidad César Vallejo;Spanish, English;Education: Education (General) | Education: Theory and practice of education;https://revistas.ucv.edu.pe/index.php/eduser/index;https://doaj.org/toc/a603deafec094f66a003ac4c1184b2af;Double anonymous peer review;No;10
32;Ciencias Agrarias y Ambientales;Inferencia Estadística;Colombia;Entretextos;0123-9333;2805-6159;Universidad de La Guajira;Spanish, English;Education | Philosophy. Psychology. Religion: Philosophy (General);http://revistas.uniguajira.edu.co/rev/index.php/entre;https://doaj.org/toc/488ff2e717d841c3bf8b8a9bb07509c0;Double anonymous peer review;No;10
33;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Estudos Teológicos;0101-3130;2237-6461;Escola Superior de Teologia;Spanish, Portuguese, German, English;Philosophy. Psychology. Religion: Religions. Mythology. Rationalism: Religion (General) | Philosophy. Psychology. Religion: Practical Theology;http://www.est.edu.br/periodicos/index.php/estudos_teologicos;https://doaj.org/toc/7b0eb35ad0b3454d9bc89698de02ad57;Anonymous peer review;No;10
34;Ciencias Agrarias y Ambientales;Experimental + Estadística;Brasil;Filosofia Unisinos;;1984-8234;Universidade do Vale do Rio dos Sinos;English, Portuguese, Spanish;Philosophy. Psychology. Religion: Philosophy (General);https://revistas.unisinos.br/index.php/filosofia/index;https://doaj.org/toc/4143d186ad23487ab53f635210cc21c2;Double anonymous peer review;No;10
35;Ciencias Agrarias y Ambientales;Experimental + Estadística;Brasil;Floresta e Ambiente;1415-0980;2179-8087;Universidade Federal Rural do Rio de Janeiro;Portuguese, English;Agriculture: Forestry;http://www.scielo.br/scielo.php?script=sci_serial&pid=2179-8087&lng=en&nrm=iso;https://doaj.org/toc/40f1444520de49cfb1452dd28ca2dd7d;Peer review;No;10
36;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;GEOUSP: Espaço e Tempo;1414-7416;2179-0892;Universidade de São Paulo;Spanish, Portuguese;Geography. Anthropology. Recreation: Geography (General);http://www.revistas.usp.br/geousp/;https://doaj.org/toc/8cbe12b14e7343029416a1fbbedf6a95;Anonymous peer review;No;10
37;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;GeoTextos;1809-189X;1984-5537;Universidade Federal da Bahia;Portuguese;Geography. Anthropology. Recreation: Geography (General);https://periodicos.ufba.br/index.php/geotextos/index;https://doaj.org/toc/a64dd5f52c77451b9ec04aba42238750;Peer review, Double anonymous peer review;No;10
38;Ciencias Agrarias y Ambientales;Experimental;Brasil;Gestão & Produção;0104-530X;1806-9649;Universidade Federal de São Carlos;English;Technology: Technology (General): Industrial engineering. Management engineering;https://www.scielo.br/j/gp/;https://doaj.org/toc/387a6bccaeea4e2ea9c2735b70182e1e;Anonymous peer review;Yes;10
39;Ciencias Agrarias y Ambientales;Experimental;Brasil;Gestão & Tecnologia de Projetos;;1981-1543;Universidade de São Paulo;English, Portuguese, Spanish;Fine Arts: Architecture | Technology: Engineering (General). Civil engineering (General);http://www.revistas.usp.br/gestaodeprojetos;https://doaj.org/toc/cdba46dc8c4d497291cf02a6cc6d860e;Peer review;No;10
40;Ciencias Agrarias y Ambientales;Experimental;Colombia;Informador Técnico;0122-056X;2256-5035;Servicio Nacional de Aprendizaje (SENA);English, Spanish;Technology: Engineering (General). Civil engineering (General) | Technology: Technology (General);http://revistas.sena.edu.co/index.php/inf_tec/index;https://doaj.org/toc/8c96d61b2bc54ac2b2fca14457c35c3d;Double anonymous peer review;No;10
41;Ciencias Agrarias y Ambientales;Experimental;Argentina;Informes Científicos y Técnicos (Universidad Nacional de la Patagonia Austral);;1852-4516;Universidad Nacional de la Patagonia Austral;Spanish;General Works;https://publicaciones.unpa.edu.ar/index.php/ICTUNPA;https://doaj.org/toc/3ccef16ea6b4440195b9f8f83c6adc52;Double anonymous peer review;No;10
42;Ciencias Agrarias y Ambientales;Experimental;Colombia;Ingeniería;0121-750X;2344-8393;Universidad Distrital Francisco José de Caldas;Spanish;Technology: Engineering (General). Civil engineering (General);http://revistas.udistrital.edu.co/ojs/index.php/reving;https://doaj.org/toc/ed66f32110404399924e0b6b97f53347;Double anonymous peer review;No;10
43;Ciencias Agrarias y Ambientales;Experimental + Estadística;Peru;Interfases;;1993-4912;Universidad de Lima;Spanish;Technology: Engineering (General). Civil engineering (General): Systems engineering;https://revistas.ulima.edu.pe/index.php/Interfases/;https://doaj.org/toc/6d12935561ae400bb99e4e405d2751dd;Double anonymous peer review;No;10
44;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Journal of Physical Education;;2448-2455;Universidade Estadual de Maringá;English, Portuguese, Spanish;Education: Special aspects of education | Geography. Anthropology. Recreation: Recreation. Leisure: Sports;http://www.periodicos.uem.br/ojs/index.php/RevEducFis/index;https://doaj.org/toc/62fa24a8ef2e4ad8a8ef8a2f638fe88e;Editorial review, Peer review, Double anonymous peer review, Open peer review;Yes;10
45;Ciencias Agrarias y Ambientales;Experimental + Estadística;Brasil;LínguaTec;;2525-3425;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul (IFRS);Spanish, English, Portuguese;Education: Special aspects of education | Language and Literature: Philology. Linguistics;https://periodicos.ifrs.edu.br/index.php/LinguaTec/index;https://doaj.org/toc/1cbe3f10553a4a7c92180adce16ef6dc;Anonymous peer review;No;10
46;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Mana;0104-9313;1678-4944;Universidade Federal do Rio de Janeiro;English, Portuguese;Geography. Anthropology. Recreation: Anthropology: Ethnology. Social and cultural anthropology;http://www.scielo.br/mana;https://doaj.org/toc/cbee564c34f14c2faa7cce55a2fc197f;Double anonymous peer review;No;10
47;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Manuscrito;0100-6045;2317-630X;Universidade Estadual de Campinas;Spanish, Portuguese, English;Philosophy. Psychology. Religion: Logic | Philosophy. Psychology. Religion: Philosophy (General);http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-6045&lng=en&nrm=iso;https://doaj.org/toc/396c3916f42f4d39bd413e8b3a753d38;Anonymous peer review;No;10
48;Ciencias Agrarias y Ambientales;Inferencia Estadística;Chile;Mutatis Mutandis: Revista Internacional de Filosofía;;0719-4773;Corporación Filosofía y Sociedad;Spanish;Philosophy. Psychology. Religion: Philosophy (General);http://revistamutatismutandis.com/;https://doaj.org/toc/5bb8cc5cee654057b1262b6e28b3b3ef;Double anonymous peer review;No;10
49;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Novos Debates;;2358-0097;Associação Brasileira de Antropologia;Portuguese, English, French, Spanish;Geography. Anthropology. Recreation: Anthropology;https://novosdebates.abant.org.br/revista/index.php/novosdebates/index;https://doaj.org/toc/9cd9422778f44201ad6c19d86addc937;Double anonymous peer review;No;10
50;Ciencias Agrarias y Ambientales;Experimental + Estadística;Brasil;Ocean and Coastal Research;;2675-2824;Instituto Oceanográfico da Universidade de São Paulo;English;Geography. Anthropology. Recreation: Oceanography;https://www.ocr-journal.org/;https://doaj.org/toc/7571b43497654fcc93e645d221d21083;Anonymous peer review;No;10
51;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Periferia;;1984-9540;Universidade do Estado do Rio de Janeiro;Portuguese, Spanish, English;Education: Special aspects of education | Language and Literature: Philology. Linguistics: Communication. Mass media;http://www.e-publicacoes.uerj.br/index.php/periferia/index;https://doaj.org/toc/ce39e33cd3c7429aabda5ac3e4286a72;Double anonymous peer review;No;10
52;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Perspectiva Filosófica;0104-6454;2357-9986;Universidade Federal de Pernambuco (UFPE);Portuguese, English, Spanish, Italian, French;Philosophy. Psychology. Religion: Philosophy (General);https://periodicos.ufpe.br/revistas/perspectivafilosofica/index;https://doaj.org/toc/e2a74470900a4e0bbf832cf6a5794ea7;Anonymous peer review;No;10
53;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Política e Gestão Educacional;;1519-9029;Universidade Estadual Paulista (Unesp);Spanish, Portuguese, English;Education: Education (General) | Education: Special aspects of education;https://periodicos.fclar.unesp.br/rpge/index;https://doaj.org/toc/495c92a933014fb98b0981c224c6dd65;Anonymous peer review, Double anonymous peer review, Open peer review;Yes;10
54;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Principia: An International Journal of Epistemology;1414-4247;1808-1711;Universidade Federal de Santa Catarina;Spanish, Portuguese, English;Philosophy. Psychology. Religion: Philosophy (General);https://periodicos.ufsc.br/index.php/principia/index;https://doaj.org/toc/0077c5e06f224446aac192d4f0e7defd;Double anonymous peer review;No;10
55;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Práticas Educativas, Memórias e Oralidades;;2675-519X;Universidade Estadual do Ceará;Portuguese;Education: Education (General) | Education: Special aspects of education;https://revistas.uece.br/index.php/revpemo/index;https://doaj.org/toc/ae69c1dea25c4acb8861d8d7f90fac49;Open peer review;No;10
56;Ciencias Agrarias y Ambientales;Experimental + Estadística;Argentina;Párrafos Geográficos;;1853-9424;Instituto de Investigaciones Geográficas de la Patagonia;Portuguese, English, Spanish;Geography. Anthropology. Recreation: Geography (General);http://www.revistas.unp.edu.ar/index.php/parrafosgeograficos;https://doaj.org/toc/46659c4f9bd34df2b64dcef7f98bb771;Double anonymous peer review;No;10
57;Ciencias Agrarias y Ambientales;Experimental + Estadística;Brasil;Revista Acadêmica Observatório de Inovação do Turismo;;1980-6965;Universidade do Grande Rio;Portuguese;Technology: Home economics: Hospitality industry. Hotels, clubs, restaurants, etc. Food service | Geography. Anthropology. Recreation: Recreation. Leisure: Recreation leadership. Administration of recreation services;http://publicacoes.unigranrio.edu.br/index.php/raoit/index;https://doaj.org/toc/bc3885a4ca6f411ca93e98e4dbe98bab;Double anonymous peer review;No;10
58;Ciencias Agrarias y Ambientales;Experimental + Estadística;Peru;Revista Agrotecnológica Amazónica;;2710-0510;Universidad Nacional de San Martín;Spanish;Technology | Agriculture: Agriculture (General);https://revistas.unsm.edu.pe/index.php/raa;https://doaj.org/toc/c0ea782a42aa486eb1dc5b7fcc525326;Double anonymous peer review;No;10
59;Ciencias Agrarias y Ambientales;Inferencia Estadística;Ecuador;Revista Andina de Educación;;2631-2816;Universidad Andina Simón Bolívar;Spanish;Education: Education (General) | Education: Special aspects of education;https://revistas.uasb.edu.ec/index.php/ree;https://doaj.org/toc/8749b567b28e4eef830434f56cb35ef5;Anonymous peer review;No;10
60;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Revista Brasileira de Educação Física e Esporte : RBEFE;1807-5509;1981-4690;Escola de Educação Física e Esporte da Universidade de São Paulo (EEFEUSP);English, Portuguese, Spanish;Geography. Anthropology. Recreation: Recreation. Leisure: Sports;http://www.scielo.br/scielo.php?script=sci_serial&pid=1807-5509&lng=en&nrm=iso;https://doaj.org/toc/de1afae80e7d4336b402383b34fe2448;Double anonymous peer review;Yes;10
61;Ciencias Agrarias y Ambientales;Experimental + Estadística;Brasil;Revista Brasileira de Fruticultura;0100-2945;1806-9967;Sociedade Brasileira de Fruticultura;Spanish, Portuguese, English;Agriculture: Plant culture;https://www.scielo.br/j/rbf/;https://doaj.org/toc/f0eff328adb6488ab2f8996920e8afc4;Double anonymous peer review;Yes;10
62;Ciencias Agrarias y Ambientales;Experimental + Estadística;Brasil;Revista Brasileira de Nutrição Esportiva;;1981-9927;Instituto Brasileiro de Pesquisa e Ensino em Fisiologia do Exercício;Portuguese;Technology: Home economics: Nutrition. Foods and food supply | Geography. Anthropology. Recreation: Recreation. Leisure: Sports;http://www.rbne.com.br/index.php/rbne;https://doaj.org/toc/b5ad7b60639c4a1f85b602bb5d82ac86;Peer review;No;10
63;Ciencias Agrarias y Ambientales;Experimental + Estadística;Brasil;Revista Brasileira de Parasitologia Veterinária;0103-846X;1984-2961;Colégio Brasileiro de Parasitologia Veterinaria;Spanish, Portuguese, English;Agriculture: Animal culture;https://www.scielo.br/j/rbpv/;https://doaj.org/toc/0f1f02149bf94eb58a04ba46870c7028;Anonymous peer review;Yes;10
64;Ciencias Agrarias y Ambientales;Experimental + Estadística;Brasil;Revista Ciência Agronômica;0045-6888;1806-6690;Universidade Federal do Ceará;Spanish, Portuguese, English;Agriculture: Agriculture (General);https://www.scielo.br/j/rca/;https://doaj.org/toc/f78f30ade4124b9fa06783e56e6c7ce8;Peer review, Double anonymous peer review;Yes;10
65;Ciencias Agrarias y Ambientales;Experimental + Estadística;Colombia;Revista Colombiana de Filosofía de la Ciencia;0124-4620;2463-1159;Universidad El Bosque;English, Spanish;Philosophy. Psychology. Religion: Philosophy (General);https://revistas.unbosque.edu.co/index.php/rcfc;https://doaj.org/toc/30ad3577f6a94c319875ee4ca022103a;Double anonymous peer review;No;10
66;Ciencias Agrarias y Ambientales;Experimental + Estadística;Colombia;Revista Colombiana de Investigaciones Agroindustriales;;2422-4456;Servicio Nacional de Aprendizaje (SENA);Portuguese, English, Spanish;Agriculture: Agriculture (General) | Technology: Home economics: Nutrition. Foods and food supply;http://revistas.sena.edu.co/index.php/recia/index;https://doaj.org/toc/40008c81ed92433382fe898162e6842d;Double anonymous peer review;No;10
67;Ciencias Agrarias y Ambientales;Inferencia Estadística;Colombia;Revista Criterios;0121-8670;2256-1161;Editorial UNIMAR;Spanish, English, Portuguese;General Works: Periodicals;https://revistas.umariana.edu.co/index.php/Criterios/index;https://doaj.org/toc/c5b9f5c3493f43deabf69406aaa9c5a9;Double anonymous peer review;No;10
68;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Revista Diálogo Educacional;1518-3483;1981-416X;Editora Universitária Champagnat - PUCPRESS;English, Portuguese, Spanish;Education: Education (General) | Education: Special aspects of education;https://periodicos.pucpr.br/index.php/dialogoeducacional;https://doaj.org/toc/2fe72cee2f4b4205983f3ad4741cfd2a;Double anonymous peer review;No;10
69;Ciencias Agrarias y Ambientales;Inferencia Estadística;Chile;Revista Electrónica de Investigación en Docencia Universitaria;;2452-4875;Universidad de Antofagasta, Vicerrectoría Académica;Spanish, English;Education: Theory and practice of education | Education: Education (General);https://reidu.cl/index.php/REIDU;https://doaj.org/toc/44245a1f43824433adaf6d16388d2b95;Double anonymous peer review;No;10
70;Ciencias Agrarias y Ambientales;Inferencia Estadística;Colombia;Revista Electrónica en Educación y Pedagogía;;2590-7476;Universidad Cesmag;Spanish;Education: Education (General) | Education: Special aspects of education;https://revedupe.unicesmag.edu.co/index.php/EDUPE;https://doaj.org/toc/7caa632175d94df9a885a33095600105;Double anonymous peer review;No;10
71;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Revista Eletrônica Trilhas da História;;2238-1651;Universidade Federal de Mato Grosso do Sul;Portuguese, Spanish;History (General) and history of Europe: History (General) | History America: Latin America. Spanish America;https://trilhasdahistoria.ufms.br/index.php/RevTH/issue/view/676;https://doaj.org/toc/06b65dbbde77443f916ac4a0321b6f01;Double anonymous peer review;No;10
72;Ciencias Agrarias y Ambientales;Inferencia Estadística;Chile;Revista Estudios en Educación;;2452-4980;Universidad Miguel de Cervantes, Centro de Estudios en Educación – CESE;Spanish;Education: Education (General) | Education: Special aspects of education;http://ojs.umc.cl/index.php/estudioseneducacion;https://doaj.org/toc/076cef4943364615a54da8208f764f07;Double anonymous peer review;No;10
73;Ciencias Agrarias y Ambientales;Experimental;Colombia;Revista Facultad de Ingeniería Universidad de Antioquia;0120-6230;2422-2844;Universidad de Antioquia;English;Technology: Engineering (General). Civil engineering (General);https://revistas.udea.edu.co/index.php/ingenieria;https://doaj.org/toc/1ce6a92699a54c3281f4d80de26a4d62;Double anonymous peer review;No;10
74;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Revista Geográfica Acadêmica;;1678-7226;Laboratório de Métricas da Paisagem, Dep. de Geografia - UFRR;English, Portuguese, Spanish;Geography. Anthropology. Recreation: Geography (General);http://revista.ufrr.br/index.php/rga;https://doaj.org/toc/e77d682d85644b6a82012d1ad97d2c8d;Anonymous peer review;No;10
75;Ciencias Agrarias y Ambientales;Inferencia Estadística;Brasil;Revista Gestão Universitária na América Latina;;1983-4535;Universidade Federal de Santa Catarina;Spanish, Portuguese;Education: Education (General) | Education: Special aspects of education;https://periodicos.ufsc.br/index.php/gual/index;https://doaj.org/toc/d1580b6dc2984f38a4b22d5f5210c938;Double anonymous peer review;No;10
76;Ciencias Agrarias y Ambientales;Inferencia Estadística;Peru;Revista Jurídica Peruana Desafíos en Derecho;;3084-7516;Universidad de Huánuco;Spanish, English;Law: Law in general. Comparative and uniform law. Jurisprudence;https://revistas.udh.edu.pe/RJP;https://doaj.org/toc/9d194a2ac421449a8c844f073ccb8a60;Peer review, Double anonymous peer review;No;10
